Jurisdiction, Description, Taxable_Sales_and_Purchases, Row_Update_Indicator, QuarterDate
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,116908.00,6201423254,2014-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,97263.00,6201433254,2014-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,57817.00,6201443254,2014-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,161228.00,6201513254,2015-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,128757.00,6201523254,2015-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,96985.00,6201533254,2015-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,59360.00,6201543254,2015-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,184063.00,6201613254,2016-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,207103.00,6201623254,2016-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,140925.00,6201633254,2016-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,98840.00,6201643254,2016-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,160864.00,6201713254,2017-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,155193.00,6201723254,2017-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,138679.00,6201733254,2017-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,105650.00,6201743254,2017-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,186699.00,6201813254,2018-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,158472.00,6201823254,2018-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,144684.00,6201833254,2018-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,105535.00,6201843254,2018-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,248501.00,6201913254,2019-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,162060.00,6201923254,2019-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,139685.00,6201933254,2019-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,75950.00,6201943254,2019-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,112937.00,6202013254,2020-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,121378.00,6202023254,2020-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,134663.00,6202033254,2020-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,106756.00,6202043254,2020-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,115842.00,6202113254,2021-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,166511.00,6202123254,2021-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,100238.00,6202133254,2021-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,105751.00,6202143254,2021-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,80414.00,6202213254,2022-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,127096.00,6202223254,2022-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,106037.00,6202233254,2022-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,156055.00,6202243254,2022-02-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,94722.00,6202313254,2023-05-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,116965.00,6202323254,2023-08-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,132156.00,6202333254,2023-11-01
CATTARAUGUS,Pharmaceutical and Medicine Manufacturing,99593.00,6202343254,2023-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,90794.00,7201413254,2014-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,72759.00,7201423254,2014-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,56149.00,7201433254,2014-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,27710.00,7201443254,2014-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,99157.00,7201513254,2015-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,71618.00,7201523254,2015-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,61895.00,7201533254,2015-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,47669.00,7201543254,2015-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,162012.00,7201613254,2016-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,141916.00,7201623254,2016-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,109042.00,7201633254,2016-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,75586.00,7201643254,2016-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,111702.00,7201713254,2017-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,156706.00,7201723254,2017-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,138326.00,7201733254,2017-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,80897.00,7201743254,2017-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,99250.00,7201813254,2018-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,108941.00,7201823254,2018-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,108744.00,7201833254,2018-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,76732.00,7201843254,2018-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,122732.00,7201913254,2019-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,118266.00,7201923254,2019-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,106425.00,7201933254,2019-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,46960.00,7201943254,2019-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,110580.00,7202013254,2020-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,90011.00,7202023254,2020-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,86126.00,7202033254,2020-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,71424.00,7202043254,2020-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,97216.00,7202113254,2021-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,96479.00,7202123254,2021-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,58626.00,7202133254,2021-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,49884.00,7202143254,2021-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,43291.00,7202213254,2022-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,59533.00,7202223254,2022-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,76118.00,7202233254,2022-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,70737.00,7202243254,2022-02-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,66422.00,7202313254,2023-05-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,99785.00,7202323254,2023-08-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,128839.00,7202333254,2023-11-01
CAYUGA,Pharmaceutical and Medicine Manufacturing,71291.00,7202343254,2023-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,139984.00,8201413254,2014-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,125029.00,8201423254,2014-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,109067.00,8201433254,2014-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,60136.00,8201443254,2014-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,134237.00,8201513254,2015-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,118113.00,8201523254,2015-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,85018.00,8201533254,2015-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,96719.00,8201543254,2015-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,168025.00,8201613254,2016-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,258597.00,8201623254,2016-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,240694.00,8201633254,2016-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,164868.00,8201643254,2016-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,290735.00,8201713254,2017-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,217075.00,8201723254,2017-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,216666.00,8201733254,2017-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,173775.00,8201743254,2017-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,231182.00,8201813254,2018-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,257238.00,8201823254,2018-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,214853.00,8201833254,2018-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,214292.00,8201843254,2018-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,264620.00,8201913254,2019-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,869512.00,8201923254,2019-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,236828.00,8201933254,2019-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,116997.00,8201943254,2019-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,173452.00,8202013254,2020-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,190315.00,8202023254,2020-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,109444.00,8202033254,2020-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,100420.00,8202043254,2020-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,137930.00,8202113254,2021-05-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,133979.00,8202123254,2021-08-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,121029.00,8202133254,2021-11-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,148988.00,8202143254,2021-02-01
CHAUTAUQUA,Pharmaceutical and Medicine Manufacturing,134981.00,8202213254,2022-05-01
