Jurisdiction, Description, Taxable_Sales_and_Purchases, Row_Update_Indicator, QuarterDate
ALBANY,Medical Equipment and Supplies Manufacturing,3494914.00,3201823391,2018-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,3282347.00,3201833391,2018-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,3694166.00,3201843391,2018-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,4097190.00,3201913391,2019-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,3885877.00,3201923391,2019-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,3770711.00,3201933391,2019-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,4746504.00,3201943391,2019-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,4321511.00,3202013391,2020-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,4253906.00,3202023391,2020-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,5523168.00,3202033391,2020-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,4570491.00,3202043391,2020-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,3572726.00,3202113391,2021-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,5086526.00,3202123391,2021-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,4684766.00,3202133391,2021-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,4650144.00,3202143391,2021-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,5905691.00,3202213391,2022-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,4401043.00,3202223391,2022-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,4840240.00,3202233391,2022-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,5280488.00,3202243391,2022-02-01
ALBANY,Medical Equipment and Supplies Manufacturing,5805873.00,3202313391,2023-05-01
ALBANY,Medical Equipment and Supplies Manufacturing,4822448.00,3202323391,2023-08-01
ALBANY,Medical Equipment and Supplies Manufacturing,5240353.00,3202333391,2023-11-01
ALBANY,Medical Equipment and Supplies Manufacturing,5382727.00,3202343391,2023-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,14923.00,4201413391,2014-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,14691.00,4201423391,2014-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,16680.00,4201433391,2014-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,15921.00,4201443391,2014-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,17717.00,4201513391,2015-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,17572.00,4201523391,2015-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,12250.00,4201533391,2015-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,63273.00,4201543391,2015-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,70966.00,4201613391,2016-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,59131.00,4201623391,2016-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,17445.00,4201633391,2016-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,35121.00,4201643391,2016-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,34560.00,4201713391,2017-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,22783.00,4201723391,2017-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,25894.00,4201733391,2017-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,31419.00,4201743391,2017-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,20867.00,4201813391,2018-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,22997.00,4201823391,2018-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,32088.00,4201833391,2018-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,72175.00,4201843391,2018-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,19733.00,4201913391,2019-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,25168.00,4201923391,2019-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,48449.00,4201933391,2019-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,57330.00,4201943391,2019-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,39035.00,4202013391,2020-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,49517.00,4202023391,2020-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,43941.00,4202033391,2020-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,24524.00,4202043391,2020-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,25579.00,4202113391,2021-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,26149.00,4202123391,2021-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,34367.00,4202133391,2021-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,56268.00,4202143391,2021-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,31895.00,4202213391,2022-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,31953.00,4202223391,2022-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,25434.00,4202233391,2022-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,20388.00,4202243391,2022-02-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,27153.00,4202313391,2023-05-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,27120.00,4202323391,2023-08-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,246061.00,4202333391,2023-11-01
ALLEGANY,Medical Equipment and Supplies Manufacturing,420665.00,4202343391,2023-02-01
BROOME,Medical Equipment and Supplies Manufacturing,679292.00,5201413391,2014-05-01
BROOME,Medical Equipment and Supplies Manufacturing,354228.00,5201423391,2014-08-01
BROOME,Medical Equipment and Supplies Manufacturing,531711.00,5201433391,2014-11-01
BROOME,Medical Equipment and Supplies Manufacturing,388643.00,5201443391,2014-02-01
BROOME,Medical Equipment and Supplies Manufacturing,405165.00,5201513391,2015-05-01
BROOME,Medical Equipment and Supplies Manufacturing,343451.00,5201523391,2015-08-01
BROOME,Medical Equipment and Supplies Manufacturing,451597.00,5201533391,2015-11-01
BROOME,Medical Equipment and Supplies Manufacturing,926822.00,5201543391,2015-02-01
BROOME,Medical Equipment and Supplies Manufacturing,537608.00,5201613391,2016-05-01
BROOME,Medical Equipment and Supplies Manufacturing,436262.00,5201623391,2016-08-01
BROOME,Medical Equipment and Supplies Manufacturing,633619.00,5201633391,2016-11-01
BROOME,Medical Equipment and Supplies Manufacturing,483590.00,5201643391,2016-02-01
BROOME,Medical Equipment and Supplies Manufacturing,543133.00,5201713391,2017-05-01
BROOME,Medical Equipment and Supplies Manufacturing,596083.00,5201723391,2017-08-01
BROOME,Medical Equipment and Supplies Manufacturing,760024.00,5201733391,2017-11-01
BROOME,Medical Equipment and Supplies Manufacturing,732537.00,5201743391,2017-02-01
BROOME,Medical Equipment and Supplies Manufacturing,686386.00,5201813391,2018-05-01
BROOME,Medical Equipment and Supplies Manufacturing,650670.00,5201823391,2018-08-01
BROOME,Medical Equipment and Supplies Manufacturing,635410.00,5201833391,2018-11-01
BROOME,Medical Equipment and Supplies Manufacturing,618041.00,5201843391,2018-02-01
BROOME,Medical Equipment and Supplies Manufacturing,762363.00,5201913391,2019-05-01
BROOME,Medical Equipment and Supplies Manufacturing,788901.00,5201923391,2019-08-01
BROOME,Medical Equipment and Supplies Manufacturing,762772.00,5201933391,2019-11-01
BROOME,Medical Equipment and Supplies Manufacturing,873721.00,5201943391,2019-02-01
BROOME,Medical Equipment and Supplies Manufacturing,1046644.00,5202013391,2020-05-01
BROOME,Medical Equipment and Supplies Manufacturing,739282.00,5202023391,2020-08-01
BROOME,Medical Equipment and Supplies Manufacturing,634701.00,5202033391,2020-11-01
BROOME,Medical Equipment and Supplies Manufacturing,663178.00,5202043391,2020-02-01
BROOME,Medical Equipment and Supplies Manufacturing,328047.00,5202113391,2021-05-01
BROOME,Medical Equipment and Supplies Manufacturing,727600.00,5202123391,2021-08-01
BROOME,Medical Equipment and Supplies Manufacturing,704051.00,5202133391,2021-11-01
BROOME,Medical Equipment and Supplies Manufacturing,552463.00,5202143391,2021-02-01
BROOME,Medical Equipment and Supplies Manufacturing,1029753.00,5202213391,2022-05-01
BROOME,Medical Equipment and Supplies Manufacturing,1057205.00,5202223391,2022-08-01
BROOME,Medical Equipment and Supplies Manufacturing,653302.00,5202233391,2022-11-01
BROOME,Medical Equipment and Supplies Manufacturing,751140.00,5202243391,2022-02-01
BROOME,Medical Equipment and Supplies Manufacturing,668478.00,5202313391,2023-05-01
BROOME,Medical Equipment and Supplies Manufacturing,775998.00,5202323391,2023-08-01
BROOME,Medical Equipment and Supplies Manufacturing,1113504.00,5202333391,2023-11-01
BROOME,Medical Equipment and Supplies Manufacturing,1050189.00,5202343391,2023-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,245715.00,6201413391,2014-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,105432.00,6201423391,2014-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,101180.00,6201433391,2014-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,97050.00,6201443391,2014-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,101172.00,6201513391,2015-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,116776.00,6201523391,2015-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,136322.00,6201533391,2015-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,113028.00,6201543391,2015-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,114991.00,6201613391,2016-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,531506.00,6201623391,2016-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,190775.00,6201633391,2016-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,216999.00,6201643391,2016-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,250989.00,6201713391,2017-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,156403.00,6201723391,2017-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,154058.00,6201733391,2017-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,400378.00,6201743391,2017-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,220163.00,6201813391,2018-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,183162.00,6201823391,2018-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,197093.00,6201833391,2018-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,179175.00,6201843391,2018-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,228072.00,6201913391,2019-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,179601.00,6201923391,2019-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,137601.00,6201933391,2019-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,393014.00,6201943391,2019-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,136952.00,6202013391,2020-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,171980.00,6202023391,2020-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,179020.00,6202033391,2020-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,315308.00,6202043391,2020-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,148261.00,6202113391,2021-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,185749.00,6202123391,2021-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,173409.00,6202133391,2021-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,152800.00,6202143391,2021-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,170985.00,6202213391,2022-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,210774.00,6202223391,2022-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,213584.00,6202233391,2022-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,238747.00,6202243391,2022-02-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,264053.00,6202313391,2023-05-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,927676.00,6202323391,2023-08-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,412018.00,6202333391,2023-11-01
CATTARAUGUS,Medical Equipment and Supplies Manufacturing,636848.00,6202343391,2023-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,86115.00,7201413391,2014-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,127697.00,7201423391,2014-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,70560.00,7201433391,2014-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,88736.00,7201443391,2014-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,78183.00,7201513391,2015-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,63824.00,7201523391,2015-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,54299.00,7201533391,2015-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,64937.00,7201543391,2015-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,72358.00,7201613391,2016-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,133020.00,7201623391,2016-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,66619.00,7201633391,2016-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,67061.00,7201643391,2016-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,88172.00,7201713391,2017-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,131853.00,7201723391,2017-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,82006.00,7201733391,2017-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,126420.00,7201743391,2017-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,120033.00,7201813391,2018-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,152348.00,7201823391,2018-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,279641.00,7201833391,2018-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,112577.00,7201843391,2018-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,143327.00,7201913391,2019-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,170255.00,7201923391,2019-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,136262.00,7201933391,2019-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,135472.00,7201943391,2019-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,159258.00,7202013391,2020-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,193600.00,7202023391,2020-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,219164.00,7202033391,2020-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,168015.00,7202043391,2020-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,98856.00,7202113391,2021-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,115750.00,7202123391,2021-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,186953.00,7202133391,2021-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,121215.00,7202143391,2021-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,131938.00,7202213391,2022-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,167934.00,7202223391,2022-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,123567.00,7202233391,2022-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,267469.00,7202243391,2022-02-01
CAYUGA,Medical Equipment and Supplies Manufacturing,93427.00,7202313391,2023-05-01
CAYUGA,Medical Equipment and Supplies Manufacturing,125883.00,7202323391,2023-08-01
CAYUGA,Medical Equipment and Supplies Manufacturing,144122.00,7202333391,2023-11-01
CAYUGA,Medical Equipment and Supplies Manufacturing,212517.00,7202343391,2023-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,328662.00,8201413391,2014-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,262062.00,8201423391,2014-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,243387.00,8201433391,2014-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,296542.00,8201443391,2014-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,351998.00,8201513391,2015-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,241637.00,8201523391,2015-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,253787.00,8201533391,2015-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,493245.00,8201543391,2015-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,236175.00,8201613391,2016-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,288604.00,8201623391,2016-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,269305.00,8201633391,2016-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,224688.00,8201643391,2016-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,290936.00,8201713391,2017-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,259304.00,8201723391,2017-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,314657.00,8201733391,2017-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,249428.00,8201743391,2017-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,313756.00,8201813391,2018-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,281147.00,8201823391,2018-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,333746.00,8201833391,2018-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,498968.00,8201843391,2018-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,306923.00,8201913391,2019-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,417248.00,8201923391,2019-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,222727.00,8201933391,2019-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,366948.00,8201943391,2019-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,445300.00,8202013391,2020-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,408560.00,8202023391,2020-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,465750.00,8202033391,2020-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,504008.00,8202043391,2020-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,253828.00,8202113391,2021-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,319656.00,8202123391,2021-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,496465.00,8202133391,2021-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,1385935.00,8202143391,2021-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,549092.00,8202213391,2022-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,625999.00,8202223391,2022-08-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,431380.00,8202233391,2022-11-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,1072752.00,8202243391,2022-02-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,262750.00,8202313391,2023-05-01
CHAUTAUQUA,Medical Equipment and Supplies Manufacturing,478250.00,8202323391,2023-08-01
